timestamp,oga,ole,owi,ohe,oa,obv,otve,speed,owe,TooBig,NoRead,LFT,MultiRead,Irreg,TooSmall,Gap,ValidDim,ValidRead
2017-07-07T22:59:50.617,138.85,24.2,12.6,7.0,-14.0,21344.0,2738.0,539.76,3.7,0,0,1,0,0,0,0,1,1
2017-07-07T22:59:51.638,93.38,16.2,16.4,10.6,-893.0,28162.0,2767.0,539.76,44.7,0,0,0,0,1,0,0,0,1
2017-07-07T22:59:52.645,100.0,9.4,13.2,9.8,867.0,12160.0,2789.0,539.76,23.9,0,0,1,0,0,0,0,1,1
2017-07-07T22:59:53.145,33.38,19.4,13.4,9.6,-15.0,24956.0,2778.0,539.76,22.1,0,0,1,0,0,0,0,1,1
2017-07-07T22:59:53.754,49.13,17.4,14.8,13.4,4.0,34508.0,2762.0,539.76,21.8,0,0,0,0,1,0,0,0,1
2017-07-07T22:59:54.649,58.81,37.2,6.0,5.8,-17.0,12946.0,2778.0,539.76,6.2,0,0,1,0,0,0,0,1,1
2017-07-07T22:59:55.109,33.34,17.0,12.0,8.0,-22.0,16320.0,2762.0,539.76,31.2,0,0,1,0,0,0,0,1,1
2017-07-07T22:59:57.092,183.74,27.6,10.6,10.2,-30.0,29841.0,2778.0,539.76,13.0,0,1,1,0,0,0,0,1,1
2017-07-07T22:59:57.828,58.18,19.2,13.4,4.0,-36.0,10291.0,2757.0,539.76,1.1,0,0,1,0,0,0,0,1,1
2017-07-07T22:59:58.663,75.19,16.0,12.2,9.4,-9.0,18349.0,2762.0,539.76,31.4,0,0,1,0,0,0,0,1,1
2017-07-07T23:00:00.067,136.45,13.4,12.8,9.4,-17.0,16123.0,2783.0,539.76,8.2,0,0,1,0,0,0,0,1,1
2017-07-07T23:00:00.557,37.59,16.0,12.0,8.8,-49.0,16896.0,2759.0,539.76,26.6,0,0,1,0,0,0,0,1,1
2017-07-07T23:00:02.426,181.37,19.0,13.0,7.4,-11.0,18278.0,2762.0,530.71,30.0,0,0,1,0,0,0,0,1,1
2017-07-07T23:00:05.633,314.13,33.6,35.6,23.0,-900.0,275117.0,2786.0,540.55,111.6,0,1,0,0,0,0,0,1,0
2017-07-07T23:00:06.061,25.47,20.0,14.4,6.8,-25.0,19584.0,2778.0,540.55,7.2,0,1,1,0,0,0,0,1,1
2017-07-07T23:00:06.387,19.4,13.4,9.4,12.8,-20.0,16123.0,2783.0,540.55,7.5,0,0,1,0,0,0,0,1,1
2017-07-07T23:00:06.722,20.55,16.4,11.6,6.8,-37.0,12936.0,2783.0,540.55,8.4,0,1,1,0,0,0,0,1,1
2017-07-07T23:00:08.819,210.39,13.4,19.4,12.8,865.0,33275.0,2807.0,540.55,8.5,0,0,1,0,0,0,0,1,1
2017-07-07T23:00:09.453,52.12,15.6,22.2,12.8,874.0,44329.0,2802.0,540.55,13.4,0,0,1,0,0,0,0,1,1
2017-07-07T23:00:10.228,67.28,17.0,12.2,8.4,-18.0,17422.0,2778.0,540.55,31.1,0,0,1,0,0,0,0,1,1
2017-07-07T23:00:11.325,101.25,15.6,14.0,9.2,-26.0,20093.0,2767.0,540.55,9.2,0,0,1,0,0,0,0,1,1
2017-07-07T23:00:11.693,26.61,10.8,7.4,5.8,-35.0,4635.0,2767.0,540.55,8.2,0,0,1,0,0,0,0,1,1
2017-07-07T23:00:13.021,128.54,16.4,16.8,17.0,-897.0,46838.0,2767.0,540.55,36.5,0,1,1,0,0,0,0,1,1
2017-07-07T23:00:14.308,117.59,20.2,20.2,12.2,4.0,49781.0,2767.0,540.55,29.7,0,0,1,0,0,0,0,1,1
2017-07-07T23:00:15.730,144.33,8.2,6.6,6.6,-46.0,3572.0,2767.0,540.55,5.2,0,0,1,0,0,0,0,1,1
2017-07-07T23:00:16.666,83.07,16.0,7.4,7.4,-22.0,8762.0,2781.0,540.55,16.0,0,0,1,0,0,0,0,1,1
2017-07-07T23:00:17.098,39.96,7.0,6.2,4.4,-25.0,1910.0,2754.0,540.55,1.4,0,0,1,0,0,0,0,1,1
2017-07-07T23:00:19.688,263.18,18.0,11.8,9.4,-3.0,19966.0,2767.0,540.55,45.9,0,1,1,0,0,0,0,1,1
2017-07-07T23:00:20.212,35.15,19.2,9.4,8.0,4.0,14438.0,2773.0,540.55,52.4,0,0,1,0,0,0,0,1,1
2017-07-07T23:00:21.824,161.96,12.2,9.6,4.8,-56.0,5622.0,2767.0,540.55,3.4,0,1,1,0,0,0,0,1,1
2017-07-07T23:00:27.377,578.58,18.8,14.2,14.2,-11.0,37908.0,2762.0,540.55,27.2,0,0,1,0,0,0,0,1,1
2017-07-07T23:00:28.461,95.15,19.2,16.0,11.4,-37.0,35021.0,2791.0,540.55,27.1,0,0,1,0,0,0,0,1,1
2017-07-07T23:00:33.591,542.79,11.4,10.8,10.8,-29.0,13297.0,2757.0,540.55,11.7,0,0,1,0,0,0,0,1,1
2017-07-07T23:00:34.808,90.94,38.6,6.2,5.4,-22.0,12923.0,2767.0,540.55,6.3,0,0,1,0,0,0,0,1,1
2017-07-07T23:00:37.156,233.46,20.4,16.6,16.0,-12.0,54182.0,2757.0,540.55,49.6,0,0,1,0,0,0,0,1,1
2017-07-07T23:00:39.850,277.75,12.2,9.8,6.6,-21.0,7891.0,2751.0,540.55,16.0,0,0,1,0,0,0,0,1,1
2017-07-07T23:00:41.120,126.14,10.2,10.4,4.8,891.0,5092.0,2773.0,540.55,2.2,0,0,1,0,0,0,0,1,1
2017-07-07T23:00:41.470,20.0,16.2,11.6,12.8,-23.0,24054.0,2773.0,540.55,9.4,0,0,1,0,0,0,0,1,1
2017-07-07T23:00:43.811,235.31,16.0,7.4,7.4,-7.0,8762.0,2762.0,540.55,16.0,0,0,1,0,0,0,0,1,1
2017-07-07T23:00:44.406,54.56,10.6,10.6,10.4,-31.0,11685.0,2767.0,540.55,3.3,0,0,1,0,0,0,0,1,1
2017-07-07T23:00:47.048,272.91,11.6,9.2,4.8,-19.0,5123.0,2759.0,540.55,3.2,0,0,1,0,0,0,0,1,1
2017-07-07T23:00:47.374,19.37,15.6,11.6,2.8,22.0,5067.0,2778.0,540.55,1.8,0,0,1,0,0,0,0,1,1
2017-07-07T23:00:47.673,20.59,11.2,9.4,4.8,-28.0,5053.0,2757.0,540.55,5.7,0,0,1,0,0,0,0,1,1
2017-07-07T23:00:50.077,246.25,12.4,11.0,10.6,12.0,14458.0,2762.0,540.55,6.3,0,1,1,0,0,0,0,1,1
2017-07-07T23:00:59.604,1000.07,25.0,13.0,17.2,-5.0,55900.0,2770.0,540.55,15.0,0,0,1,0,0,0,0,1,1
2017-07-07T23:00:59.850,18.77,10.0,7.4,5.0,-15.0,3700.0,2751.0,540.55,1.2,0,1,1,0,0,0,0,1,1
2017-07-07T23:01:00.228,25.47,13.2,10.0,9.2,-28.0,12144.0,2757.0,540.55,18.9,0,0,1,0,0,0,0,1,1
2017-07-07T23:01:01.156,85.51,13.0,10.4,7.4,-41.0,10005.0,2728.0,540.55,5.7,0,0,1,0,0,0,0,1,1
2017-07-07T23:01:01.491,27.28,11.6,11.2,11.0,24.0,14291.0,2754.0,540.55,11.9,0,1,0,0,1,0,0,0,1
2017-07-07T23:01:01.836,22.4,10.8,7.6,5.8,4.0,4761.0,2762.0,540.55,8.2,0,0,1,0,0,0,0,1,1
2017-07-07T23:01:02.375,28.5,30.4,12.6,6.8,-37.0,26047.0,2757.0,540.55,15.9,0,1,1,0,0,0,0,1,1
2017-07-07T23:01:02.906,43.66,12.6,9.2,6.4,-27.0,7419.0,2754.0,540.55,6.9,0,0,1,0,0,0,0,1,1
2017-07-07T23:01:03.395,37.63,16.8,12.2,8.0,-24.0,16397.0,2767.0,540.55,29.3,0,0,1,0,0,0,0,1,1
2017-07-07T23:01:03.775,26.06,13.2,14.0,7.2,887.0,13306.0,2746.0,540.55,3.8,0,0,1,0,0,0,0,1,1
2017-07-07T23:01:04.069,21.81,10.2,7.8,7.2,-1.0,5728.0,2767.0,540.55,1.6,0,0,1,0,0,0,0,1,1
2017-07-07T23:01:04.360,21.22,10.4,7.2,6.8,16.0,5092.0,2743.0,540.55,9.9,0,1,1,0,0,0,0,1,1
2017-07-07T23:01:04.926,23.03,36.6,5.6,5.2,-15.0,10658.0,2773.0,540.55,6.2,0,0,1,0,0,0,0,1,1
2017-07-07T23:01:05.434,37.63,16.4,12.6,8.6,-42.0,17771.0,2767.0,540.55,20.7,0,0,1,0,0,0,0,1,1
2017-07-07T23:01:06.630,115.23,14.4,16.6,8.4,892.0,20079.0,2789.0,540.55,23.0,0,0,1,0,0,0,0,1,1
2017-07-07T23:01:07.249,40.03,27.6,17.6,12.0,-13.0,58291.0,2778.0,540.55,30.0,0,0,1,0,0,0,0,1,1
2017-07-07T23:01:10.358,322.59,11.2,10.6,10.8,0.0,12822.0,2757.0,540.55,11.7,0,0,1,0,0,0,0,1,1
2017-07-07T23:01:10.887,40.0,17.0,12.0,8.0,-20.0,16320.0,2767.0,540.55,31.2,0,0,1,0,0,0,0,1,1
2017-07-07T23:01:12.409,154.01,8.6,6.4,5.8,-4.0,3192.0,2757.0,540.55,2.1,0,0,1,0,0,0,0,1,1
2017-07-07T23:01:12.717,21.22,7.8,10.4,7.4,578.0,6003.0,2778.0,540.55,2.2,0,0,1,0,0,0,0,1,1
2017-07-07T23:01:13.449,65.47,13.8,15.8,14.0,870.0,30526.0,2749.0,540.55,17.6,0,0,1,0,0,0,0,1,1
2017-07-07T23:01:13.712,19.4,10.6,10.8,11.2,875.0,12822.0,2773.0,540.55,11.7,0,1,1,0,0,0,0,1,1
2017-07-07T23:01:14.435,58.85,16.2,14.4,13.8,-31.0,32193.0,2791.0,540.55,30.5,0,0,1,0,0,0,0,1,1
2017-07-07T23:01:15.874,141.88,13.2,10.0,9.2,-10.0,12144.0,2778.0,540.55,21.4,0,0,1,0,0,0,0,1,1
2017-07-07T23:01:17.841,201.33,9.6,13.2,9.6,865.0,12165.0,2733.0,540.55,19.1,0,0,1,0,0,0,0,1,1
2017-07-07T23:01:20.921,305.66,27.0,17.6,12.6,-14.0,59875.0,2802.0,537.4,26.1,0,0,1,0,0,0,0,1,1
2017-07-07T23:01:21.976,86.73,25.6,13.4,15.6,-14.0,53514.0,2757.0,537.4,14.2,0,1,0,0,1,0,0,0,1
2017-07-07T23:01:24.202,220.74,18.4,13.4,14.6,-4.0,35998.0,2743.0,537.4,28.0,0,0,1,0,0,0,0,1,1
2017-07-07T23:01:25.180,93.93,11.2,7.6,6.0,-45.0,5107.0,2759.0,537.4,8.3,0,0,1,0,0,0,0,1,1
2017-07-07T23:01:25.492,22.4,10.8,11.4,10.4,844.0,12804.0,2749.0,537.4,16.6,0,0,1,0,0,0,0,1,1
2017-07-07T23:01:26.816,123.11,20.8,20.4,13.2,0.0,56010.0,2765.0,537.4,37.1,0,1,1,0,0,0,0,1,1
2017-07-07T23:01:27.199,27.91,10.6,7.4,7.8,-33.0,6118.0,2767.0,537.4,2.2,0,0,1,0,0,0,0,1,1
2017-07-07T23:01:27.466,20.0,9.4,6.2,4.6,-14.0,2681.0,2746.0,537.4,1.3,0,0,1,0,0,0,0,1,1
2017-07-07T23:01:28.668,112.16,15.8,13.8,14.0,-32.0,30526.0,2757.0,537.4,24.7,0,0,1,0,0,0,0,1,1
2017-07-07T23:01:29.940,119.48,18.6,19.6,18.0,-881.0,65621.0,2783.0,537.4,48.7,0,0,1,0,0,0,0,1,1
2017-07-07T23:01:30.376,25.47,20.0,20.2,12.6,894.0,50904.0,2762.0,537.4,31.6,0,0,1,0,0,0,0,1,1
2017-07-07T23:01:32.426,188.03,32.6,23.4,5.4,-14.0,41193.0,2751.0,537.4,10.5,0,0,1,0,0,0,0,1,1
2017-07-07T23:01:35.465,308.07,20.4,12.6,17.4,-8.0,44725.0,2767.0,537.4,31.3,0,0,1,0,0,0,0,1,1
2017-07-07T23:01:36.400,80.03,18.4,12.4,9.6,-9.0,21903.0,2778.0,537.4,10.1,0,0,1,0,0,0,0,1,1
2017-07-07T23:01:38.072,172.83,8.2,6.4,4.8,6.0,2519.0,2757.0,537.4,4.5,0,1,1,0,0,0,0,1,1
2017-07-07T23:01:42.320,417.28,40.8,21.4,20.8,-13.0,181609.0,2778.0,536.22,98.9,0,1,0,0,0,0,0,1,0
