,timestamp,incr,state,speed,speed_Unit,CAN1: Dev. 1numberoccur,CAN1: Dev. 1errid,CAN1: Dev. 1firsttime,CAN1: Dev. 1lasttime,CAN1: Dev. 4numberoccur,CAN1: Dev. 4errid,CAN1: Dev. 4firsttime,CAN1: Dev. 4lasttime,CAN1: Dev. 3numberoccur,CAN1: Dev. 3errid,CAN1: Dev. 3firsttime,CAN1: Dev. 3lasttime,CAN1: Dev. 2numberoccur,CAN1: Dev. 2errid,CAN1: Dev. 2firsttime,CAN1: Dev. 2lasttime,CAN1: Dev. 5numberoccur,CAN1: Dev. 5errid,CAN1: Dev. 5firsttime,CAN1: Dev. 5lasttime,CAN1: Dev. 6numberoccur,CAN1: Dev. 6errid,CAN1: Dev. 6firsttime,CAN1: Dev. 6lasttime,throughput
23,2017-07-05T23:21:11.868,35424.0,started,540.16,ft/min,53,3000400,2017-05-30T10:06:22,2017-07-05T21:43:17,56,3000400,2017-05-30T10:06:25,2017-07-05T21:43:17,49,3000400,2017-05-30T10:06:29,2017-07-05T23:06:28,50,3000400,2017-05-30T10:06:31,2017-07-05T21:43:18,53,3000400,2017-05-30T10:06:33,2017-07-05T19:55:50,56,3000400,2017-05-30T10:06:34,2017-07-05T19:19:36,71.0
24,2017-07-05T23:22:11.890,64521.0,started,540.16,ft/min,53,3000400,2017-05-30T10:06:22,2017-07-05T21:43:17,56,3000400,2017-05-30T10:06:25,2017-07-05T21:43:17,49,3000400,2017-05-30T10:06:29,2017-07-05T23:06:28,50,3000400,2017-05-30T10:06:31,2017-07-05T21:43:18,53,3000400,2017-05-30T10:06:33,2017-07-05T19:55:50,56,3000400,2017-05-30T10:06:34,2017-07-05T19:19:36,61.0
25,2017-07-05T23:23:11.868,27963.0,started,540.16,ft/min,53,3000400,2017-05-30T10:06:22,2017-07-05T21:43:17,56,3000400,2017-05-30T10:06:25,2017-07-05T21:43:17,49,3000400,2017-05-30T10:06:29,2017-07-05T23:06:28,50,3000400,2017-05-30T10:06:31,2017-07-05T21:43:18,53,3000400,2017-05-30T10:06:33,2017-07-05T19:55:50,56,3000400,2017-05-30T10:06:34,2017-07-05T19:19:36,60.0
26,2017-07-05T23:24:11.868,57002.0,started,540.35,ft/min,53,3000400,2017-05-30T10:06:22,2017-07-05T21:43:17,56,3000400,2017-05-30T10:06:25,2017-07-05T21:43:17,49,3000400,2017-05-30T10:06:29,2017-07-05T23:06:28,50,3000400,2017-05-30T10:06:31,2017-07-05T21:43:18,53,3000400,2017-05-30T10:06:33,2017-07-05T19:55:50,56,3000400,2017-05-30T10:06:34,2017-07-05T19:19:36,80.0
27,2017-07-05T23:25:11.872,20564.0,started,540.35,ft/min,53,3000400,2017-05-30T10:06:22,2017-07-05T21:43:17,56,3000400,2017-05-30T10:06:25,2017-07-05T21:43:17,49,3000400,2017-05-30T10:06:29,2017-07-05T23:06:28,50,3000400,2017-05-30T10:06:31,2017-07-05T21:43:18,53,3000400,2017-05-30T10:06:33,2017-07-05T19:55:50,56,3000400,2017-05-30T10:06:34,2017-07-05T19:19:36,79.0
28,2017-07-05T23:26:11.872,49617.0,started,539.57,ft/min,53,3000400,2017-05-30T10:06:22,2017-07-05T21:43:17,56,3000400,2017-05-30T10:06:25,2017-07-05T21:43:17,49,3000400,2017-05-30T10:06:29,2017-07-05T23:06:28,50,3000400,2017-05-30T10:06:31,2017-07-05T21:43:18,53,3000400,2017-05-30T10:06:33,2017-07-05T19:55:50,56,3000400,2017-05-30T10:06:34,2017-07-05T19:19:36,82.0
29,2017-07-05T23:27:11.872,13133.0,started,539.57,ft/min,53,3000400,2017-05-30T10:06:22,2017-07-05T21:43:17,56,3000400,2017-05-30T10:06:25,2017-07-05T21:43:17,50,3000400,2017-05-30T10:06:29,2017-07-05T23:26:34,50,3000400,2017-05-30T10:06:31,2017-07-05T21:43:18,53,3000400,2017-05-30T10:06:33,2017-07-05T19:55:50,56,3000400,2017-05-30T10:06:34,2017-07-05T19:19:36,46.0
30,2017-07-05T23:28:11.901,42187.0,started,539.57,ft/min,53,3000400,2017-05-30T10:06:22,2017-07-05T21:43:17,56,3000400,2017-05-30T10:06:25,2017-07-05T21:43:17,50,3000400,2017-05-30T10:06:29,2017-07-05T23:26:34,50,3000400,2017-05-30T10:06:31,2017-07-05T21:43:18,53,3000400,2017-05-30T10:06:33,2017-07-05T19:55:50,56,3000400,2017-05-30T10:06:34,2017-07-05T19:19:36,22.0
31,2017-07-05T23:29:11.872,5569.0,started,539.57,ft/min,53,3000400,2017-05-30T10:06:22,2017-07-05T21:43:17,56,3000400,2017-05-30T10:06:25,2017-07-05T21:43:17,50,3000400,2017-05-30T10:06:29,2017-07-05T23:26:34,50,3000400,2017-05-30T10:06:31,2017-07-05T21:43:18,53,3000400,2017-05-30T10:06:33,2017-07-05T19:55:50,56,3000400,2017-05-30T10:06:34,2017-07-05T19:19:36,38.0
32,2017-07-05T23:30:11.872,34577.0,started,539.57,ft/min,53,3000400,2017-05-30T10:06:22,2017-07-05T21:43:17,56,3000400,2017-05-30T10:06:25,2017-07-05T21:43:17,50,3000400,2017-05-30T10:06:29,2017-07-05T23:26:34,50,3000400,2017-05-30T10:06:31,2017-07-05T21:43:18,53,3000400,2017-05-30T10:06:33,2017-07-05T19:55:50,56,3000400,2017-05-30T10:06:34,2017-07-05T19:19:36,43.0
