timestamp,incr,state,speed,speed_Unit,CAN1: Dev. 11numberoccur,CAN1: Dev. 11errid,CAN1: Dev. 11firsttime,CAN1: Dev. 11lasttime,CAN1: Dev. 12numberoccur,CAN1: Dev. 12errid,CAN1: Dev. 12firsttime,CAN1: Dev. 12lasttime,CAN1: Dev. 3numberoccur,CAN1: Dev. 3errid,CAN1: Dev. 3firsttime,CAN1: Dev. 3lasttime,CAN1: Dev. 2numberoccur,CAN1: Dev. 2errid,CAN1: Dev. 2firsttime,CAN1: Dev. 2lasttime,CAN1: Dev. 6numberoccur,CAN1: Dev. 6errid,CAN1: Dev. 6firsttime,CAN1: Dev. 6lasttime,CAN1: Dev. 1numberoccur,CAN1: Dev. 1errid,CAN1: Dev. 1firsttime,CAN1: Dev. 1lasttime,CAN1: Dev. 5numberoccur,CAN1: Dev. 5errid,CAN1: Dev. 5firsttime,CAN1: Dev. 5lasttime,CAN1: Dev. 4numberoccur,CAN1: Dev. 4errid,CAN1: Dev. 4firsttime,CAN1: Dev. 4lasttime
2017-07-31T23:24:29.457,47075.0,started,537.4,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,49,03000400,2017-07-24T10:00:36,2017-07-31T22:53:01,24,03000400,2017-07-24T10:00:36,2017-07-31T22:53:02,69,03000400,2017-07-24T10:00:36,2017-07-31T23:03:22,61,03000400,2017-07-24T10:00:37,2017-07-31T22:53:16,50,03000400,2017-07-24T10:00:37,2017-07-31T22:01:12,48,03000400,2017-07-24T10:00:38,2017-07-31T23:24:10
2017-07-31T23:25:29.468,10637.0,started,540.35,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,49,03000400,2017-07-24T10:00:36,2017-07-31T22:53:01,24,03000400,2017-07-24T10:00:36,2017-07-31T22:53:02,69,03000400,2017-07-24T10:00:36,2017-07-31T23:03:22,61,03000400,2017-07-24T10:00:37,2017-07-31T22:53:16,50,03000400,2017-07-24T10:00:37,2017-07-31T22:01:12,48,03000400,2017-07-24T10:00:38,2017-07-31T23:24:10
2017-07-31T23:26:29.457,39720.0,started,537.4,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,49,03000400,2017-07-24T10:00:36,2017-07-31T22:53:01,24,03000400,2017-07-24T10:00:36,2017-07-31T22:53:02,69,03000400,2017-07-24T10:00:36,2017-07-31T23:03:22,61,03000400,2017-07-24T10:00:37,2017-07-31T22:53:16,50,03000400,2017-07-24T10:00:37,2017-07-31T22:01:12,48,03000400,2017-07-24T10:00:38,2017-07-31T23:24:10
2017-07-31T23:27:29.463,3267.0,started,540.75,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,49,03000400,2017-07-24T10:00:36,2017-07-31T22:53:01,24,03000400,2017-07-24T10:00:36,2017-07-31T22:53:02,69,03000400,2017-07-24T10:00:36,2017-07-31T23:03:22,61,03000400,2017-07-24T10:00:37,2017-07-31T22:53:16,50,03000400,2017-07-24T10:00:37,2017-07-31T22:01:12,48,03000400,2017-07-24T10:00:38,2017-07-31T23:24:10
2017-07-31T23:28:29.457,32320.0,started,539.57,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,49,03000400,2017-07-24T10:00:36,2017-07-31T22:53:01,24,03000400,2017-07-24T10:00:36,2017-07-31T22:53:02,69,03000400,2017-07-24T10:00:36,2017-07-31T23:03:22,61,03000400,2017-07-24T10:00:37,2017-07-31T22:53:16,50,03000400,2017-07-24T10:00:37,2017-07-31T22:01:12,48,03000400,2017-07-24T10:00:38,2017-07-31T23:24:10
2017-07-31T23:29:29.457,61388.0,started,539.76,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,49,03000400,2017-07-24T10:00:36,2017-07-31T22:53:01,24,03000400,2017-07-24T10:00:36,2017-07-31T22:53:02,69,03000400,2017-07-24T10:00:36,2017-07-31T23:03:22,61,03000400,2017-07-24T10:00:37,2017-07-31T22:53:16,50,03000400,2017-07-24T10:00:37,2017-07-31T22:01:12,48,03000400,2017-07-24T10:00:38,2017-07-31T23:24:10
2017-07-31T23:30:29.457,24965.0,started,539.37,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,49,03000400,2017-07-24T10:00:36,2017-07-31T22:53:01,24,03000400,2017-07-24T10:00:36,2017-07-31T22:53:02,69,03000400,2017-07-24T10:00:36,2017-07-31T23:03:22,61,03000400,2017-07-24T10:00:37,2017-07-31T22:53:16,50,03000400,2017-07-24T10:00:37,2017-07-31T22:01:12,48,03000400,2017-07-24T10:00:38,2017-07-31T23:24:10
2017-07-31T23:31:29.558,54318.0,started,539.37,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,49,03000400,2017-07-24T10:00:36,2017-07-31T22:53:01,24,03000400,2017-07-24T10:00:36,2017-07-31T22:53:02,69,03000400,2017-07-24T10:00:36,2017-07-31T23:03:22,61,03000400,2017-07-24T10:00:37,2017-07-31T22:53:16,50,03000400,2017-07-24T10:00:37,2017-07-31T22:01:12,48,03000400,2017-07-24T10:00:38,2017-07-31T23:24:10
2017-07-31T23:32:29.466,17895.0,started,540.55,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,49,03000400,2017-07-24T10:00:36,2017-07-31T22:53:01,24,03000400,2017-07-24T10:00:36,2017-07-31T22:53:02,69,03000400,2017-07-24T10:00:36,2017-07-31T23:03:22,61,03000400,2017-07-24T10:00:37,2017-07-31T22:53:16,50,03000400,2017-07-24T10:00:37,2017-07-31T22:01:12,48,03000400,2017-07-24T10:00:38,2017-07-31T23:24:10
2017-07-31T23:32:56.422,20099.0,stopped,0.0,ft/min,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,1,03000400,2017-07-24T09:20:33,2017-07-24T09:20:33,49,03000400,2017-07-24T10:00:36,2017-07-31T22:53:01,24,03000400,2017-07-24T10:00:36,2017-07-31T22:53:02,69,03000400,2017-07-24T10:00:36,2017-07-31T23:03:22,61,03000400,2017-07-24T10:00:37,2017-07-31T22:53:16,50,03000400,2017-07-24T10:00:37,2017-07-31T22:01:12,48,03000400,2017-07-24T10:00:38,2017-07-31T23:24:10
