timestamp,incr,state,speed,speed_Unit,CAN1: Dev. 1numberoccur,CAN1: Dev. 1errid,CAN1: Dev. 1firsttime,CAN1: Dev. 1lasttime,CAN1: Dev. 4numberoccur,CAN1: Dev. 4errid,CAN1: Dev. 4firsttime,CAN1: Dev. 4lasttime,CAN1: Dev. 3numberoccur,CAN1: Dev. 3errid,CAN1: Dev. 3firsttime,CAN1: Dev. 3lasttime,CAN1: Dev. 2numberoccur,CAN1: Dev. 2errid,CAN1: Dev. 2firsttime,CAN1: Dev. 2lasttime,CAN1: Dev. 5numberoccur,CAN1: Dev. 5errid,CAN1: Dev. 5firsttime,CAN1: Dev. 5lasttime,CAN1: Dev. 6numberoccur,CAN1: Dev. 6errid,CAN1: Dev. 6firsttime,CAN1: Dev. 6lasttime
2017-07-07T23:22:13.304,24656.0,started,539.17,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,73,03000400,2017-05-30T10:06:25,2017-07-07T23:04:11,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
2017-07-07T23:23:13.306,53770.0,started,539.17,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,73,03000400,2017-05-30T10:06:25,2017-07-07T23:04:11,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
2017-07-07T23:24:13.304,17272.0,started,541.54,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,73,03000400,2017-05-30T10:06:25,2017-07-07T23:04:11,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
2017-07-07T23:25:13.304,46324.0,started,539.57,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,73,03000400,2017-05-30T10:06:25,2017-07-07T23:04:11,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
2017-07-07T23:26:13.308,9902.0,started,539.57,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,73,03000400,2017-05-30T10:06:25,2017-07-07T23:04:11,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
2017-07-07T23:27:13.308,39015.0,started,539.96,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,73,03000400,2017-05-30T10:06:25,2017-07-07T23:04:11,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
2017-07-07T23:28:13.308,2547.0,started,539.96,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,73,03000400,2017-05-30T10:06:25,2017-07-07T23:04:11,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
2017-07-07T23:29:13.308,31615.0,started,539.96,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,73,03000400,2017-05-30T10:06:25,2017-07-07T23:04:11,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
2017-07-07T23:30:13.308,60623.0,started,539.96,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,73,03000400,2017-05-30T10:06:25,2017-07-07T23:04:11,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
2017-07-07T23:31:13.308,24140.0,started,539.57,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,73,03000400,2017-05-30T10:06:25,2017-07-07T23:04:11,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
2017-07-07T23:32:13.308,53208.0,started,539.57,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,73,03000400,2017-05-30T10:06:25,2017-07-07T23:04:11,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
2017-07-07T23:33:13.308,16754.0,started,539.57,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,73,03000400,2017-05-30T10:06:25,2017-07-07T23:04:11,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
2017-07-07T23:34:13.317,45913.0,started,539.57,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,73,03000400,2017-05-30T10:06:25,2017-07-07T23:04:11,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
2017-07-07T23:35:13.308,9460.0,started,539.57,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,73,03000400,2017-05-30T10:06:25,2017-07-07T23:04:11,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
2017-07-07T23:36:13.327,38558.0,started,539.57,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,73,03000400,2017-05-30T10:06:25,2017-07-07T23:04:11,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
2017-07-07T23:37:13.313,2060.0,started,539.57,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,73,03000400,2017-05-30T10:06:25,2017-07-07T23:04:11,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
2017-07-07T23:38:13.313,31143.0,started,539.76,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,73,03000400,2017-05-30T10:06:25,2017-07-07T23:04:11,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
2017-07-07T23:39:13.313,60241.0,started,540.16,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,73,03000400,2017-05-30T10:06:25,2017-07-07T23:04:11,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
2017-07-07T23:40:13.313,23788.0,started,539.57,ft/min,69,03000400,2017-05-30T10:06:22,2017-07-07T19:58:39,73,03000400,2017-05-30T10:06:25,2017-07-07T23:04:11,71,03000400,2017-05-30T10:06:29,2017-07-07T19:05:16,58,03000400,2017-05-30T10:06:31,2017-07-07T20:05:23,71,03000400,2017-05-30T10:06:33,2017-07-07T18:52:10,79,03000400,2017-05-30T10:06:34,2017-07-07T22:23:02
