,timestamp,incr,state,speed,speed_Unit,CAN1: Dev. 3numberoccur,CAN1: Dev. 3errid,CAN1: Dev. 3firsttime,CAN1: Dev. 3lasttime,CAN1: Dev. 2numberoccur,CAN1: Dev. 2errid,CAN1: Dev. 2firsttime,CAN1: Dev. 2lasttime,CAN1: Dev. 1numberoccur,CAN1: Dev. 1errid,CAN1: Dev. 1firsttime,CAN1: Dev. 1lasttime,CAN1: Dev. 4numberoccur,CAN1: Dev. 4errid,CAN1: Dev. 4firsttime,CAN1: Dev. 4lasttime,throughput
25,2017-08-10T23:23:17.755,54547.0,started,538.19,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,88.0
26,2017-08-10T23:24:17.760,18079.0,started,538.19,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,75.0
27,2017-08-10T23:25:17.760,47162.0,started,538.19,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,70.0
28,2017-08-10T23:26:17.760,10664.0,started,538.19,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,55.0
29,2017-08-10T23:27:17.760,39762.0,started,538.19,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,101.0
30,2017-08-10T23:28:17.760,3309.0,started,538.39,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,105.0
31,2017-08-10T23:29:17.760,32377.0,started,538.39,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,96.0
32,2017-08-10T23:30:17.760,61490.0,started,539.96,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,81.0
33,2017-08-10T23:31:17.760,25082.0,started,541.34,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,78.0
34,2017-08-10T23:32:17.760,54180.0,started,539.17,ft/min,34,3000400,2017-08-03T19:15:24,2017-08-10T22:20:51,51,3000400,2017-08-03T19:15:25,2017-08-10T21:05:48,40,3000400,2017-08-03T19:15:25,2017-08-10T15:13:54,41,3000400,2017-08-03T19:15:26,2017-08-10T22:26:09,61.0
