devicename,deviceid,timestamp,incr,tokenid,seqnb,timestamp1,otl,otl_Unit,tt,tt_Unit,oga,oga_Unit,devicelist,ole,size_Unit,owi,ohe,oa,oa_Unit,obv,obv_Unit,orv,orv_Unit,otve,otve_Unit,speed,speed_Unit,owe,owe_Unit,TooBig,NoRead,LFT,MultiRead,Irreg,TooSmall,Gap,ValidDim,ValidRead,Clipping,PeError
0089PS06CT1,32.0,2017-07-23T12:27:06.314,52620.0,0089PS06CT12017-07-23T12:27:04791,7661.0,2017-07-23T12:27:04.274,58.81,inch,543.0,ms,88.54,inch,FC300008,58.6,inch,17.0,12.4,5.0,degree/10,123529.0,inch3/10,0.0,inch3/10,2773.0,mm/sec,537.01,ft/min,0.0,LB,0,1,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T12:27:07.952,56985.0,0089PS06CT12017-07-23T12:27:05792,7662.0,2017-07-23T12:27:05.898,60.03,inch,556.0,ms,115.19,inch,FC300008,59.2,inch,16.8,16.6,-13.0,degree/10,165097.0,inch3/10,0.0,inch3/10,2773.0,mm/sec,537.01,ft/min,31.4,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T12:27:08.525,58515.0,0089PS06CT12017-07-23T12:27:06793,7663.0,2017-07-23T12:27:06.470,10.9,inch,101.0,ms,50.94,inch,FC300008,10.2,inch,8.6,6.8,-46.0,degree/10,5965.0,inch3/10,0.0,inch3/10,2762.0,mm/sec,537.01,ft/min,2.6,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T12:27:08.860,59415.0,0089PS06CT12017-07-23T12:27:06794,7664.0,2017-07-23T12:27:06.808,9.68,inch,90.0,ms,26.65,inch,FC300008,9.4,inch,7.4,4.8,-9.0,degree/10,3339.0,inch3/10,0.0,inch3/10,2757.0,mm/sec,537.01,ft/min,1.2,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T12:27:10.053,62595.0,0089PS06CT12017-07-23T12:27:08795,7665.0,2017-07-23T12:27:08.011,55.15,inch,512.0,ms,74.56,inch,FC300008,54.6,inch,10.4,4.8,-11.0,degree/10,27256.0,inch3/10,0.0,inch3/10,2773.0,mm/sec,537.01,ft/min,17.1,LB,0,1,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T12:27:19.102,21179.0,0089PS06CT12017-07-23T12:27:17796,7666.0,2017-07-23T12:27:17.059,16.33,inch,152.0,ms,958.85,inch,FC300008,15.6,inch,15.6,15.6,869.0,degree/10,37964.0,inch3/10,0.0,inch3/10,2757.0,mm/sec,537.01,ft/min,8.5,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T12:27:19.797,23024.0,0089PS06CT12017-07-23T12:27:17797,7667.0,2017-07-23T12:27:17.740,25.47,inch,237.0,ms,47.87,inch,FC300008,25.0,inch,24.4,5.0,-5.0,degree/10,30500.0,inch3/10,0.0,inch3/10,2749.0,mm/sec,537.01,ft/min,11.0,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T12:27:20.939,26069.0,0089PS06CT12017-07-23T12:27:18798,7668.0,2017-07-23T12:27:18.876,16.96,inch,158.0,ms,105.51,inch,FC300008,16.6,inch,12.4,11.6,-2.0,degree/10,23877.0,inch3/10,0.0,inch3/10,2767.0,mm/sec,537.01,ft/min,15.8,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T12:27:21.481,27509.0,0089PS06CT12017-07-23T12:27:19799,7669.0,2017-07-23T12:27:19.426,12.71,inch,117.0,ms,46.06,inch,FC300008,12.4,inch,8.4,6.8,-13.0,degree/10,7083.0,inch3/10,0.0,inch3/10,2751.0,mm/sec,537.01,ft/min,2.5,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-23T12:27:22.008,28919.0,0089PS06CT12017-07-23T12:27:19800,7670.0,2017-07-23T12:27:19.965,12.12,inch,113.0,ms,46.06,inch,FC300008,11.8,inch,13.2,5.6,883.0,degree/10,8723.0,inch3/10,0.0,inch3/10,2757.0,mm/sec,537.01,ft/min,3.0,LB,0,1,1,0,0,0,0,1,1,0,0
