timestamp,oga,ole,owi,ohe,oa,obv,otve,speed,owe,TooBig,NoRead,LFT,MultiRead,Irreg,TooSmall,Gap,ValidDim,ValidRead,timeInterval
2017-07-23 12:27:50.804,27.87,18.8,30.0,14.8,-891.0,83472.0,2794.0,538.19,8.1,0,0,1,0,0,0,0,1,1,0.437
2017-07-23 12:27:52.424,138.85,35.8,4.8,2.8,-24.0,4812.0,2799.0,538.19,4.7,0,0,1,0,0,0,0,1,1,1.62
2017-07-23 12:27:53.082,49.09,21.2,25.2,20.8,884.0,111122.0,2786.0,538.19,67.4,0,0,1,0,0,0,0,1,1,0.658
2017-07-23 12:27:53.850,33.93,48.2,8.4,9.2,-11.0,37249.0,2773.0,538.19,10.0,0,0,1,0,0,0,0,1,1,0.768
2017-07-23 12:27:54.846,81.85,30.2,12.4,11.8,-8.0,44189.0,2754.0,538.19,16.7,0,1,1,0,0,0,0,1,1,0.9960000000000001
2017-07-23 12:27:55.600,55.78,25.0,16.8,15.6,27.0,65520.0,2749.0,538.19,5.3,0,1,1,0,0,0,0,1,1,0.754
2017-07-23 12:27:55.907,21.22,11.8,17.8,8.4,878.0,17643.0,2749.0,538.19,30.9,0,0,1,0,0,0,0,1,1,0.307
2017-07-23 12:27:56.628,44.84,30.6,19.8,17.8,-22.0,107847.0,2767.0,538.19,26.0,0,0,1,0,0,0,0,1,1,0.7210000000000001
2017-07-23 12:27:57.374,66.69,12.6,20.8,2.8,884.0,7338.0,2741.0,538.19,1.4,0,0,1,0,0,0,0,1,1,0.746
2017-07-23 12:27:57.720,20.59,18.0,12.0,10.0,-25.0,21600.0,2759.0,538.19,36.1,0,0,1,0,0,0,0,1,1,0.34600000000000003
2017-07-23 12:27:58.249,29.68,27.4,12.6,11.2,-6.0,38667.0,2773.0,538.19,17.1,0,1,1,0,0,0,0,1,1,0.529
2017-07-23 12:27:58.718,26.06,22.2,10.4,10.4,-12.0,24012.0,2767.0,538.19,11.2,0,0,1,0,0,0,0,1,1,0.46900000000000003
2017-07-23 12:27:59.699,57.59,49.2,10.6,5.0,-9.0,26076.0,2778.0,538.19,12.9,0,1,1,0,0,0,0,1,1,0.9810000000000001
2017-07-23 12:28:00.864,103.7,19.4,13.2,11.6,-33.0,29705.0,2773.0,538.19,33.0,0,0,1,0,0,0,0,1,1,1.165
2017-07-23 12:28:01.363,38.18,14.6,18.4,13.0,871.0,34923.0,2767.0,538.19,5.9,0,0,1,0,0,0,0,1,1,0.49900000000000005
2017-07-23 12:28:01.891,44.25,12.8,18.8,2.8,875.0,6738.0,2783.0,538.19,1.2,0,0,1,0,0,0,0,1,1,0.528
2017-07-23 12:28:02.591,60.62,14.4,17.6,8.6,-900.0,21796.0,2746.0,538.19,18.6,0,0,1,0,0,0,0,1,1,0.7000000000000001
2017-07-23 12:28:03.047,27.28,20.2,20.4,18.4,878.0,75823.0,2762.0,538.19,11.1,0,0,1,0,0,0,0,1,1,0.456
2017-07-23 12:28:03.795,54.56,24.4,18.4,9.2,-11.0,41304.0,2762.0,538.19,19.4,0,0,1,0,0,0,0,1,1,0.748
2017-07-23 12:28:04.189,21.22,23.8,4.2,4.2,-44.0,4198.0,2762.0,538.19,1.4,0,1,1,0,0,0,0,1,1,0.394
2017-07-23 12:28:04.626,24.25,22.4,10.6,10.4,-16.0,24694.0,2764.0,538.19,14.2,0,1,1,0,0,0,0,1,1,0.437
2017-07-23 12:28:05.674,87.32,19.0,24.2,9.2,-783.0,42302.0,2770.0,538.19,19.7,0,0,1,0,0,0,0,1,1,1.048
2017-07-23 12:28:06.255,26.65,36.8,10.8,4.0,-20.0,15898.0,2767.0,538.19,15.2,0,1,1,0,0,0,0,1,1,0.5810000000000001
2017-07-23 12:28:06.873,39.4,28.0,12.8,11.2,-18.0,40141.0,2754.0,538.19,16.3,0,1,1,0,0,0,0,1,1,0.618
